MPN;SPN;Quantity;SMD/THT;Category;Subcategory;Datasheet URL
GRM21BR71C105KA01L;490-1691-2-ND;3000;SMD;PassiveComponents;capacitors;https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR71C105KA01-01A.pdf
RC0805FR-075K6L;199-5734;5000;SMD;PassiveComponents;resistors;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RC0805FR-07715RL;3952049;5000;SMD;PassiveComponents;resistors;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RC0805JR-070RL;199-5752;5000;SMD;PassiveComponents;resistors;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
802-9618;802-9618;5000;SMD;PassiveComponents;resistors;https://docs.rs-online.com/28d2/0900766b8157c903.pdf
MCR18 EZH JW202E;—;5000;SMD;PassiveComponents;resistors;—
802-9784;802-9784;5000;SMD;PassiveComponents;resistors;https://docs.rs-online.com/350b/0900766b8157c940.pdf
RMCF0805FT909K;RMCF0805FT909KTR-ND;5000;SMD;PassiveComponents;resistors;https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf
;1182;7;;—;—;—
CC0805KRX7R9BB681;3019860;4000;SMD;PassiveComponents;capacitors;https://www.yageo.com/en/Chart/Download/pdf/CC0805KRX7R9BB681
TAJV226K050RNJ;1355458;100;SMD;PassiveComponents;capacitors;https://docs.rs-online.com/1e78/0900766b815b838f.pdf
MP000460;3213384;1;SMD;PassiveComponents;resistors;—
293D104X9050A2TE3;9302727;100;SMD;PassiveComponents;capacitors;https://www.farnell.com/datasheets/2899258.pdf
824599;—;2;SMD;Semiconductors;diodes;https://www.we-online.com/en/components/products/download/inlay/824599
STM32F446ZCT6;—;10;;—;—;—
STM32G431CBU6;—;50;;—;—;—
STM32U535RET6Q;—;7;;—;—;—
STM32F0360K6T6;—;30;;—;—;—
STM32G474RET6;—;14;;—;—;—
STM32G4A1REI6;—;9;;—;—;—
STM32F201K6T6;—;14;;—;—;—
STM32L412KBT6;511-STM32L412KBT6;50;SMD;—;—;—
STM32H573RIT6;—;7;;—;—;—
STM32U535RET6;—;2;;—;—;—
STM32G431KBT6;511-STM32G431KBT6;12;SMD;—;—;—
STM32G491CET6;511-STM32G491CET6;25;SMD;—;—;—
